[2025-03-02 22:44:51] Application started.
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074D0C600
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074D0BB60
[2025-03-02 22:44:58] Pointer1 address: 0x000000002250EF30
[2025-03-02 22:44:58] Pointer2 address: 0x00000000624B65B0
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074D0AE40
[2025-03-02 22:44:58] Pointer1 address: 0x000000002250F210
[2025-03-02 22:44:58] Pointer2 address: 0x00000000624B65B0
[2025-03-02 22:44:58] Pointer1 address: 0x000000002250F4F0
[2025-03-02 22:44:58] Pointer2 address: 0x0000000054C19970
[2025-03-02 22:44:58] Pointer1 address: 0x000000002250F7D0
[2025-03-02 22:44:58] Pointer2 address: 0x00000000624B65B0
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074D0BAC0
[2025-03-02 22:44:58] Pointer1 address: 0x000000002250FAB0
[2025-03-02 22:44:58] Pointer2 address: 0x0000000054C19970
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074D0B7A0
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074D0B200
[2025-03-02 22:44:58] Pointer1 address: 0x000000002250FD90
[2025-03-02 22:44:58] Pointer2 address: 0x0000000051496D41
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074CE4E20
[2025-03-02 22:44:58] Pointer1 address: 0x000000000513A630
[2025-03-02 22:44:58] Pointer1 address: 0x0000000022510070
[2025-03-02 22:44:58] Pointer2 address: 0x0000000052516728
[2025-03-02 22:44:58] Pointer1 address: 0x0000000022510350
[2025-03-02 22:44:58] Pointer2 address: 0x0000000054C19970
[2025-03-02 22:44:58] Pointer1 address: 0x00000000640FF240
[2025-03-02 22:44:58] Pointer1 address: 0x00000000640FF300
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074CE3020
[2025-03-02 22:44:58] Pointer1 address: 0x00000000640FF3C0
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074CE5AA0
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074CE3160
[2025-03-02 22:44:58] Pointer1 address: 0x0000000074CE46A0
[2025-03-02 22:47:32] Application started.
[2025-03-02 22:47:35] Pointer1 address: 0x0000000082460B20
[2025-03-02 22:47:35] Pointer1 address: 0x00000000824608A0
[2025-03-02 22:47:35] Pointer1 address: 0x000000002199EF30
[2025-03-02 22:47:35] Pointer1 address: 0x0000000082460940
[2025-03-02 22:47:35] Pointer1 address: 0x000000002199F210
[2025-03-02 22:47:35] Pointer1 address: 0x000000002199F4F0
[2025-03-02 22:47:35] Pointer2 address: 0x0000000054C19970
[2025-03-02 22:47:35] Pointer1 address: 0x000000002199F7D0
[2025-03-02 22:47:35] Pointer1 address: 0x0000000082460C60
[2025-03-02 22:47:35] Pointer1 address: 0x000000002199FAB0
[2025-03-02 22:47:35] Pointer2 address: 0x0000000054C19970
[2025-03-02 22:47:35] Pointer1 address: 0x0000000082460BC0
[2025-03-02 22:47:35] Pointer1 address: 0x0000000082460A80
[2025-03-02 22:47:35] Pointer1 address: 0x000000002199FD90
[2025-03-02 22:47:35] Pointer2 address: 0x0000000051496D41
[2025-03-02 22:47:35] Pointer1 address: 0x0000000082460DA0
[2025-03-02 22:47:35] Pointer1 address: 0x0000000004E3A900
[2025-03-02 22:47:35] Pointer1 address: 0x00000000219A0070
[2025-03-02 22:47:35] Pointer2 address: 0x0000000052516728
[2025-03-02 22:47:35] Pointer1 address: 0x00000000219A0350
[2025-03-02 22:47:35] Pointer2 address: 0x0000000054C19970
[2025-03-02 22:47:35] Pointer1 address: 0x00000000568DA6A0
[2025-03-02 22:47:35] Pointer1 address: 0x00000000568DA760
[2025-03-02 22:47:35] Pointer1 address: 0x00000000824388A0
[2025-03-02 22:47:35] Pointer1 address: 0x00000000568DA820
[2025-03-02 22:47:35] Pointer1 address: 0x0000000082438940
[2025-03-02 22:47:35] Pointer1 address: 0x00000000824393E0
[2025-03-02 22:47:35] Pointer1 address: 0x00000000824389E0
[2025-03-02 22:50:05] Application started.
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841E23F0
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841E0410
[2025-03-02 22:50:08] Pointer1 address: 0x000000002253EF30
[2025-03-02 22:50:08] Pointer2 address: 0x
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841E2170
[2025-03-02 22:50:08] Pointer1 address: 0x000000002253F210
[2025-03-02 22:50:08] Pointer2 address: 0x
[2025-03-02 22:50:08] Pointer1 address: 0x000000002253F4F0
[2025-03-02 22:50:08] Pointer2 address: 0x
[2025-03-02 22:50:08] Pointer1 address: 0x000000002253F7D0
[2025-03-02 22:50:08] Pointer2 address: 0x
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841E2530
[2025-03-02 22:50:08] Pointer1 address: 0x000000002253FAB0
[2025-03-02 22:50:08] Pointer2 address: 0x
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841DF830
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841E0910
[2025-03-02 22:50:08] Pointer1 address: 0x000000002253FD90
[2025-03-02 22:50:08] Pointer2 address: 0x
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841E05F0
[2025-03-02 22:50:08] Pointer1 address: 0x0000000004EF9370
[2025-03-02 22:50:08] Pointer1 address: 0x0000000022540070
[2025-03-02 22:50:08] Pointer2 address: 0x
[2025-03-02 22:50:08] Pointer1 address: 0x0000000022540350
[2025-03-02 22:50:08] Pointer2 address: 0x
[2025-03-02 22:50:08] Pointer1 address: 0x0000000056DD1660
[2025-03-02 22:50:08] Pointer1 address: 0x0000000056DD1720
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841BA530
[2025-03-02 22:50:08] Pointer1 address: 0x0000000056DD17E0
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841BAE90
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841B8190
[2025-03-02 22:50:08] Pointer1 address: 0x00000000841BA3F0
[2025-03-02 22:52:59] Application started.
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B9770
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B9270
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A21EA0
[2025-03-02 22:53:01] Pointer2 address: 0x
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B6890
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22180
[2025-03-02 22:53:01] Pointer2 address: 0x
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22460
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22740
[2025-03-02 22:53:01] Pointer2 address: 0x
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B7830
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22A20
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B7F10
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B78D0
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22D00
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B75B0
[2025-03-02 22:53:01] Pointer1 address: 0x0000000004EBD6C0
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22FE0
[2025-03-02 22:53:01] Pointer2 address: 0x[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A232C0
[2025-03-02 22:53:01] Pointer1 address: 0x000000004E7636B0
[2025-03-02 22:53:01] Pointer1 address: 0x000000004E763770
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C693570
[2025-03-02 22:53:01] Pointer1 address: 0x000000004E763830
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C691A90
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C68EF70
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C690D70
